program_name,c81,c82,c83,c84,c85,c86,c87,c88
cfiles32/seq-mthreaded/pals_opt-floodmax.5.2.ufo.BOUNDED-10.pals.c,6.13,6.776666667,6.1,6.216666667,6.326666667,6.1,6.16,6.636666667
cfiles32/seq-mthreaded/pals_opt-floodmax.5.4.ufo.BOUNDED-10.pals.c,5.99,5.99,6.38,6.133333333,5.93,6.693333333,6.3,6.1
cfiles32/seq-mthreaded/pals_opt-floodmax.5.ufo.BOUNDED-10.pals.c,6.466666667,5.933333333,5.816666667,5.82,6.156666667,6.016666667,6.126666667,6.3
cfiles32/seq-mthreaded/pals_opt-floodmax.5.ufo.UNBOUNDED.pals.c,6,6.11,6.673333333,6.056666667,6.196666667,5.89,6.42,5.746666667
cfiles32/seq-mthreaded/pals_opt-floodmax.5_overflow.ufo.UNBOUNDED.pals.c,6.08,6.193333333,6.106666667,6.813333333,6.193333333,5.656666667,6.42,5.88
cfiles32/seq-pthread/cs_lazy.i,31.71,31.71,31.43666667,31.71,31.71,31.71,31.71,31.71
cfiles32/seq-pthread/cs_stateful-1.i,32.28,32.28,32.28,32.28,32.28,32.28,32.28,32.28
cfiles32/systemc/token_ring.04.cil-2.c,74.20333333,73.82666667,74.20333333,74.58,74.20333333,73.45,73.82666667,73.45
cfiles32/systemc/token_ring.06.cil-1.c,73.64,74.2,73.92,74.2,74.48,73.64,73.36,73.64
cfiles32/xcsp/AllInterval-005.c,66.66666667,63.33333333,70,63.33333333,63.33333333,76.66666667,63.33333333,60
cfiles32/xcsp/AllInterval-006.c,41.66666667,52.78,50.00333333,52.78,44.44333333,63.89,69.44666667,44.44666667
cfiles32/xcsp/AllInterval-008.c,33.33333333,39.58333333,37.5,29.16666667,41.66666667,31.25,31.25,31.25
cfiles32/xcsp/AllInterval-009.c,27.77666667,25.92666667,27.77666667,29.63,31.48,24.07333333,20.37,25.92666667
cfiles32/xcsp/AllInterval-010.c,26.66666667,13.33333333,21.66666667,21.66666667,23.33333333,23.33333333,28.33333333,20
cfiles32/xcsp/AllInterval-011.c,22.72666667,15.15333333,27.27,18.18333333,21.21333333,12.12,22.72666667,16.66666667
cfiles32/xcsp/AllInterval-012.c,23.61,8.33,16.66333333,19.44333333,18.05666667,15.27666667,18.05666667,22.22333333
cfiles32/xcsp/AllInterval-014.c,15.47666667,8.33,11.90333333,11.90333333,9.523333333,7.14,15.47666667,11.90333333
cfiles32/xcsp/AllInterval-015.c,10,7.78,10,11.11333333,11.11,6.67,14.44666667,10
cfiles32/xcsp/AllInterval-016.c,12.5,7.293333333,8.333333333,16.66666667,7.293333333,6.25,12.5,6.25
cfiles32/xcsp/AllInterval-017.c,10.78333333,5.88,10.78333333,9.803333333,11.76666667,5.88,9.8,7.84
cfiles32/xcsp/AllInterval-018.c,6.483333333,5.56,13.89,5.56,10.18666667,5.56,10.18333333,7.406666667
cfiles32/xcsp/AllInterval-019.c,7.893333333,5.26,7.893333333,7.016666667,6.136666667,5.26,10.52333333,7.893333333
cfiles32/xcsp/AllInterval-020.c,5.833333333,5,5.833333333,6.666666667,8.333333333,5,6.666666667,5
